Timestamp,What is the score (total points correct out of 15),Human or AI,Section
9/10/2025 12:54:53,4,AI,MW
9/10/2025 12:54:59,10,Human,MW
9/10/2025 12:55:01,15,AI,MW
9/10/2025 12:55:03,10,AI,MW
9/10/2025 12:55:07,8.5,AI,MW
9/10/2025 12:55:18,7,AI,MW
9/10/2025 12:55:18,8,Human,MW
9/10/2025 12:55:20,8,Human,MW
9/10/2025 12:55:29,0,AI,MW
9/10/2025 12:55:30,9,AI,MW
9/10/2025 12:55:31,10,Human,MW
9/10/2025 12:55:39,2,AI,MW
9/10/2025 12:55:41,15,AI,MW
9/10/2025 12:55:45,12,Human,MW
9/10/2025 12:55:49,11,AI,MW
9/10/2025 12:55:52,13,Human,MW
9/10/2025 12:55:53,8,AI,MW
9/10/2025 12:55:58,5,AI,MW
9/10/2025 12:56:00,15,Human,MW
9/10/2025 12:56:13,8,Human,MW
9/10/2025 12:56:28,15,AI,MW
9/10/2025 12:56:28,9,AI,MW
9/10/2025 12:56:35,11,AI,MW
9/10/2025 12:56:36,5,AI,MW
9/10/2025 12:56:42,7,Human,MW
9/10/2025 12:56:48,5,AI,MW
9/10/2025 12:57:05,9,Human,MW
9/10/2025 12:57:05,7.5,Human,MW
9/10/2025 12:57:09,8,AI,MW
9/10/2025 12:57:16,13,Human,MW
9/10/2025 12:57:18,10,Human,MW
9/10/2025 12:57:26,13,Human,MW
9/10/2025 12:57:28,6,AI,MW
9/10/2025 12:57:31,12,Human,MW
9/10/2025 12:57:39,12,Human,MW
9/10/2025 12:58:22,10,AI,MW
9/10/2025 12:58:29,4,AI,MW
9/10/2025 12:58:41,12,AI,MW
9/10/2025 12:58:43,13,Human,MW
9/10/2025 13:00:01,6.6,Human,MW
9/10/2025 13:00:19,10,AI,MW
9/10/2025 13:06:17,8,AI,MW
9/11/2025 12:54:50,15,AI,TTH
9/11/2025 12:55:06,2,Human,TTH
9/11/2025 12:55:31,15,Human,TTH
9/11/2025 12:55:33,15,AI,TTH
9/11/2025 12:56:23,8,Human,TTH
9/11/2025 12:56:24,5,AI,TTH
9/11/2025 12:56:37,9,Human,TTH
9/11/2025 12:56:42,7,AI,TTH
9/11/2025 12:56:43,8,AI,TTH
9/11/2025 12:57:04,8/15,AI,TTH
9/11/2025 12:57:05,5,AI,TTH
9/11/2025 12:57:07,7,AI,TTH
9/11/2025 12:57:15,15,AI,TTH
9/11/2025 12:57:15,10,AI,TTH
9/11/2025 12:57:18,8,Human,TTH
9/11/2025 12:57:20,10,AI,TTH
9/11/2025 12:57:23,5,AI,TTH
9/11/2025 12:57:27,15,Human,TTH
9/11/2025 12:57:30,4,AI,TTH
9/11/2025 12:57:31,0,AI,TTH
9/11/2025 12:57:32,7,Human,TTH
9/11/2025 12:57:35,6,Human,TTH
9/11/2025 12:57:43,12,Human,TTH
9/11/2025 12:57:43,3,Human,TTH
9/11/2025 12:57:59,9,Human,TTH
9/11/2025 12:58:00,8,Human,TTH
9/11/2025 13:00:33,9,Human,TTH
9/11/2025 13:01:55,4,AI,TTH
9/11/2025 13:07:46,5,AI,TTH
